price,space,room,bedroom,furniture,latitude,longitude,city_area,floor,max_floor,apartment_type,renovation_type,balcony
138400,40,2,1,0,41.7245209,44.7537885,Saburtalo District,8,14,new,newly renovated,1
214200,60,3,2,1,41.7224121,44.7720785,Saburtalo District,10,12,new,newly renovated,1
148300,75,3,2,0,41.72981255,44.73330339,Vake District,4,16,old,not renovated,0
108700,42,2,1,1,41.6883397,44.8325599,Isani District,23,23,new,newly renovated,1
210900,70,3,2,0,41.7224121,44.7720785,Saburtalo District,9,14,new,newly renovated,1
296600,100,5,3,0,41.7052106,44.7904878,Mtatsminda District,3,3,old,old renovation,0
240500,87,2,1,0,41.7279282,44.7680255,Saburtalo District,5,5,old,old renovation,1
280100,110,5,3,0,41.7927141,44.7611428,Saburtalo District,14,14,old,old renovation,1
444800,100,4,2,1,41.688653,44.8336218,Isani District,10,12,new,newly renovated,1
263600,100,3,2,1,41.7093734,44.7698209,Vake District,3,4,old,old renovation,1
214200,87,3,2,0,41.7259992,44.7860003,Didube District,1,5,old,old renovation,0
1285100,226,5,4,1,41.6894847,44.7924223,Mtatsminda District,4,7,new,newly renovated,1
201000,55,2,2,0,41.727196,44.7281978,Saburtalo District,5,9,new,newly renovated,1
355900,98,3,2,1,41.7224121,44.7720785,Saburtalo District,5,14,new,newly renovated,1
194400,55,3,2,0,41.7224121,44.7720785,Saburtalo District,9,18,new,newly renovated,1
329500,118,3,2,0,41.72218898,44.7677856,Other,9,12,new,newly renovated,1
197700,64,3,2,1,41.7245209,44.7537885,Saburtalo District,2,14,new,newly renovated,1
118600,48,2,1,1,41.7903068,44.7593516,Saburtalo District,5,12,new,newly renovated,1
194400,60,2,1,1,41.7307343,44.7439254,Saburtalo District,4,10,new,newly renovated,1
118600,80,3,2,0,41.79816197,44.82049282,Gldani District,1,9,old,not renovated,0
184500,55,3,2,0,41.7595839,44.77448547,Didube District,21,22,new,newly renovated,0
98900,45,3,2,1,41.73188365,44.8368763,Other,1,5,old,newly renovated,0
4.28E+05,113,4,3,0,41.725054,44.7545015,Saburtalo District,11,14,new,newly renovated,1
2.41E+05,90,3,2,0,41.7341813,44.72803694,Vake District,12,15,new,newly renovated,1
187800,68,3,2,1,41.7954972,44.8190233,Gldani District,7,10,new,newly renovated,1
8.23E+05,238,6,4,1,41.7210455,44.7405122,Saburtalo District,6,6,new,newly renovated,1
140000,50,2,1,0,41.7206004,44.7232035,Saburtalo District,5,9,new,green frame,1
95500,71,4,3,0,41.6640361,44.9150779,Samgori District,3,3,old,old renovation,1
181200,70,4,3,0,41.79739864,44.82325158,Gldani District,6,9,old,newly renovated,1
362500,110,4,3,1,41.718769,44.7069129,Saburtalo District,12,14,new,newly renovated,1
553600,76,3,2,1,41.6905169,44.7980186,Mtatsminda District,2,2,old,newly renovated,1
605000,107,3,2,0,41.722811,44.7509454,Saburtalo District,7,10,new,newly renovated,0
444800,122,4,3,0,41.7098352,44.7730487,Vake District,4,12,new,newly renovated,1
214200,117,4,3,1,41.7954972,44.8190233,Gldani District,7,9,old,newly renovated,1
65900,68,2,1,0,41.7554926,44.766335,Saburtalo District,5,10,new,newly renovated,1
242200,86.3,3,2,0,41.7331648,44.7411031,Saburtalo District,12,13,new,green frame,1
444800,155,4,3,0,41.7206103,44.7106871,Saburtalo District,5,15,new,green frame,0
184500,62.4,3,2,0,41.7394206,44.75660209,Saburtalo District,3,5,new,newly renovated,1
560200,171,4,3,1,41.7117382,44.7928453,Chugureti District,5,7,new,newly renovated,0
156500,55.6,3,2,0,41.7335333,44.798583,Nadzaladevi District,12,17,new,newly renovated,1
247100,90,3,2,1,41.71830105,44.82281752,Chugureti District,2,2,old,newly renovated,0
